record_id,company_name,industry,country,company_size,month,year,layoffs_count,layoff_percentage,reason_for_layoffs
T0,Microsoft,AI,Singapore,Enterprise,Mar,2026,860,1.8,AI Automation
T1,Palantir,AI,Canada,Big Tech,Feb,2024,955,1.8,Cost Cutting
T2,Anthropic,Cybersecurity,USA,Mid-size,Apr,2025,18912,9.5,Overhiring Correction
T3,Spotify,Gaming,USA,Mid-size,Jun,2025,18159,9.1,Cost Cutting
T4,Uber,Gaming,UK,Startup,Feb,2025,815,3.3,Market Slowdown
T5,Databricks,FinTech,USA,Big Tech,Jul,2024,3568,32.7,Overhiring Correction
T6,Adobe,Gaming,Singapore,Enterprise,Dec,2024,3454,29.4,AI Automation
T7,Airbnb,Gaming,UK,Startup,Jul,2025,1038,1.1,Restructuring
T8,Intel,Cloud,UK,Enterprise,Dec,2026,1819,9.3,AI Automation
T9,Databricks,Social Media,India,Mid-size,Jul,2025,1306,4.3,Overhiring Correction
T10,Airbnb,Social Media,UK,Startup,Jun,2025,1136,0.6,Market Slowdown
T11,Amazon,Cloud,Canada,Enterprise,Jul,2026,1153,5.3,Restructuring
T12,Apple,FinTech,India,Mid-size,Dec,2026,10339,24.3,Restructuring
T13,Stripe,E-Commerce,UK,Mid-size,Feb,2024,1802,3.4,AI Automation
T14,Apple,Social Media,India,Big Tech,Jul,2025,8158,18.8,Overhiring Correction
T15,SAP,Cybersecurity,UK,Startup,Nov,2026,6592,29.2,Market Slowdown
T16,Salesforce,AI,UK,Big Tech,Jan,2026,1218,6.6,Market Slowdown
T17,Anthropic,Gaming,India,Startup,Nov,2026,8022,23.8,Overhiring Correction
T18,Uber,Cloud,UK,Mid-size,Oct,2025,4420,21.7,Restructuring
T19,Google,AI,UK,Enterprise,Apr,2026,625,6.2,AI Automation
T20,Amazon,Social Media,Germany,Startup,Mar,2026,11647,37.2,Restructuring
T21,Palantir,Cloud,UK,Big Tech,Dec,2025,50,4.7,Restructuring
T22,Intel,E-Commerce,Canada,Big Tech,Apr,2024,773,0.5,Market Slowdown
T23,Google,Cybersecurity,Canada,Mid-size,Jan,2024,6949,34.8,AI Automation
T24,Airbnb,AI,USA,Enterprise,May,2026,580,6.1,Restructuring
T25,Uber,Cybersecurity,India,Big Tech,Jul,2024,2479,8.1,AI Automation
T26,Microsoft,Social Media,Germany,Enterprise,Aug,2026,6501,1.5,AI Automation
T27,Microsoft,AI,Germany,Enterprise,Apr,2024,2444,2.1,Overhiring Correction
T28,SAP,Cloud,Germany,Mid-size,Apr,2024,828,14.7,Restructuring
T29,Palantir,AI,USA,Startup,Mar,2025,1548,7.4,Restructuring
T30,OpenAI,Cloud,Germany,Startup,Jan,2025,717,6.8,Market Slowdown
T31,SAP,FinTech,Germany,Big Tech,May,2024,2445,5.5,AI Automation
T32,Stripe,Social Media,Canada,Startup,Jan,2024,18924,24.4,Overhiring Correction
T33,OpenAI,Cybersecurity,Canada,Mid-size,Mar,2024,90,2.5,Overhiring Correction
